Código;Local/Unidade
01.01.0085.01.0068;SEMSA - UBS SANTO ANTONIO
01.01.0085.01.0069;SEMSA - UBS SANTOS DUMONT
01.01.0085.01.0070;SEMSA - UBS SAO FRANCISCO
01.01.0085.01.0071;SEMSA - UBS SÃO VICENTE DE PAULO
01.01.0085.01.0072;SEMSA - UBS THEODOMIRO GARRIDO
01.01.0085.01.0073;SEMSA - UBS THEOMARIO PINTO DA COSTA
01.01.0085.01.0074;SEMSA - UBS VICENTE PALOTTI
01.01.0085.01.0075;SEMSA - UBS VILA DA PRATA
01.01.0085.01.0076;SEMSA - UBSR ADA VIANA
01.01.0085.01.0077;SEMSA - UBSR EPHIGENIO SALLES
01.01.0085.01.0114;SEMSA - USF ILIDIO DE ALMEIDA LIMA
01.01.0085.01.0113;SEMSA - USF S-07
01.01.0007.02.0001;SETOR COMERCIAL
01.01.0007.02.0007;SETOR DE BARCOS
01.01.0007.01.0005;SETOR DE COMPRAS
01.01.0007.01.0008;SETOR DE CONTABILIDADE
01.01.0007.02.0003;SETOR DE CONTRATOS
01.01.0007.01.0009;SETOR DE DEPARTAMENTO DE PESSOAL
01.01.0007.02.0004;SETOR DE ESTOQUES
01.01.0007.01.0007;SETOR DE FATURAMENTO
01.01.0007.02.0002;SETOR DE MARKETING
01.01.0007.02.0005;SETOR DE OPERAÇÕES
01.01.0007.01.0010;SETOR DE RECURSOS HUMANOS
01.01.0007.01.0011;SETOR DE SEGURANÇA DO TRABALHO
01.01.0007.02.0006;SETOR DE SEGURANÇA PATRIMONIAL
01.01.0007.01.0012;SETOR DE TECNOLOGIA DA INFORMAÇÃO
01.01.0007.01.0006;SETOR FINANCEIRO
01.01.0007.01.0004;SETOR FISCAL
01.01.0070;SUPERINTENCIA DA POLICIA RODOVIARIA FEDERAL PE
01.01.0018.01.0001;SUPERINTENDENCIA DA RECEITA FEDERAL MS
01.01.0079.01.0003;TRE PB - ANEXO I DISTRITO
01.01.0079.01.0004;TRE PB - ANEXO VI NATU
01.01.0079.01.0005;TRE PB - FORUM ELEITORAL
01.01.0079.02.0001;TRE PB - INTERMITENTE
01.01.0079.01.0002;TRE PB - NOVO MUSEU
01.01.0079.01.0001;TRE PB - SEDE
01.01.0079;TRIBUNAL REGIONAL ELEITORAL DA PARAIBA
01.01.0013.01.0005;UEA - CARAUARI
01.01.0013.01.0012;UEA - ESA
01.01.0085.01.0100;UEA - ESA
01.01.0085.01.0104;UEA - ESAT
01.01.0013.01.0016;UEA - ESAT
01.01.0013.01.0017;UEA - ESCOLA DE DIREITO
01.01.0085.01.0105;UEA - ESCOLA DE DIREITO
01.01.0085.01.0101;UEA - EST
01.01.0013.01.0013;UEA - EST
01.01.0013.01.0002;UEA - HUMAITA
01.01.0013.01.0004;UEA - MANACAPURU
01.01.0013.01.0001;UEA - MANAUS
01.01.0013.01.0008;UEA - MANICORÉ
01.01.0085.01.0103;UEA - NAOPE
01.01.0013.01.0006;UEA - NOVO AIRÃO
01.01.0013.01.0009;UEA - NOVO ARIPUANÃ
01.01.0013.01.0014;UEA - POLICLINICA
01.01.0085.01.0102;UEA - POLICLINICA
01.01.0013.01.0010;UEA - PRESIDENTE FIGUEIREDO
01.01.0013.01.0007;UEA - SÃO GABRIEL DA CACHOEIRA
01.01.0013.01.0003;UEA - TABATINGA
01.01.0013.01.0011;UEA - UNATI
01.01.0055;UFAM
01.01.0029.01.0003;UFRB - FAZENDA EXPERIMENTAL
01.01.0029.01.0001;UFRB - HOSPITAL VETERINARIO
01.01.0029.01.0002;UFRB - NUCLEO DE MEIO AMBIENTE
01.01.0029;UNIV. FEDERAL DO RECONCAVO DA BAHIA
01.01.0013;UNIVERSIDADE DO ESTADO DO AMAZONAS
01.01.0054;UNIVERSIDADE FEDERAL
01.01.0030;UNIVERSIDADE FEDERAL - MINAS GERAIS
01.01.0027;UNIVERSIDADE FEDERAL DO MATO GROSSO
